ip6	subcategory
 	TOR
2606:4700:3033::ac43:b07d	phishing
2606:4700:3036::6815:2fb	phishing
2606:4700:3037::ac43:d422	phishing
2606:4700:3031::ac43:afc2	phishing
2606:4700:3037::6815:5bc7	phishing
2606:4700:3036::ac43:c4ad	phishing
2606:4700:3035::6815:5d71	phishing
2606:4700:3035::6815:5507	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:75b9::1	phishing
2a02:4780:dead:de04::1	phishing
2a02:4780:dead:de04::1	phishing
2a02:4780:dead:de04::1	phishing
2604:a880:400:d0::186a:3001	phishing
2600:9000:21b8:3600:19:9934:6a80:93a1	phishing
2606:4700:3034::6815:2719	phishing
2600:1f14:ca9:3500:3891:89ca:d7b2:9db3	phishing
2600:9000:2198:9600:4:c9a1:2a80:93a1	phishing
2600:9000:2029:6200:12:832a:da00:21	phishing
2600:9000:2000:f800:19:9934:6a80:93a1	phishing
2600:9000:2000:4600:19:9934:6a80:93a1	phishing
2600:9000:2000:4600:19:9934:6a80:93a1	phishing
2600:9000:21b8:c800:19:9934:6a80:93a1	phishing
2600:9000:2000:4a00:19:9934:6a80:93a1	phishing
2600:9000:2000:3a00:19:9934:6a80:93a1	phishing
2606:4700:3031::ac43:a2e8	phishing
2606:4700:3033::ac43:dcb9	phishing
2604:a880:400:d0::186a:3001	phishing
2607:f8b0:4001:c1c::76	phishing
2600:9000:21b8:b400:19:9934:6a80:93a1	phishing
2600:9000:2000:6400:19:9934:6a80:93a1	phishing
2a02:4780:dead:a5b0::1	phishing
2a02:4780:dead:a5b0::1	phishing
2a02:4780:dead:a5b0::1	phishing
2a02:4780:dead:a5b0::1	phishing
2a02:4780:dead:a5b0::1	phishing
2606:4700:3034::ac43:c857	C&C
2606:4700:3030::6815:2278	C&C
2a06:c3c0:2:43::1	TOR
2a00:f940:4::10	C&C
2606:4700:3034::ac43:8196	C&C
2606:4700:3033::ac43:cd02	C&C
2606:4700:3037::ac43:bb7b	C&C
2606:4700:3037::ac43:939d	C&C
2606:4700:3035::ac43:d2cf	C&C
2a02:4780:dead:8ce7::1	C&C
2a02:4780:dead:8ce7::1	C&C
2a02:4780:dead:8ce7::1	C&C
2a02:4780:dead:8ce7::1	C&C
2a02:4780:dead:8ce7::1	C&C
2600:1f16:389:3100:366c:e45e:9097:14a4	C&C
2600:1f16:389:3100:366c:e45e:9097:14a4	C&C
2600:1f16:389:3100:366c:e45e:9097:14a4	C&C
2606:4700:3030::6815:28e9	C&C
2606:4700:3035::6815:1bbf	C&C
2606:4700:3031::6815:2f12	C&C
2606:4700:3030::6815:6a3	C&C
2a02:2178:1009:be5d:84a6:6fa2:b98c:39b7	C&C
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2a02:4780:dead:9b5d::1	phishing
2606:4700:3030::6815:3bd6	phishing
2603:1030:7:5::25	phishing
2600:9000:2029:5000:19:9934:6a80:93a1	phishing
2600:9000:21b8:f800:19:9934:6a80:93a1	phishing
2606:4700:e6::ac40:c302	phishing
2606:4700:3033::6815:2aa7	phishing
2a02:4780:dead:7bb8::1	phishing
2a02:4780:dead:7bb8::1	phishing
2a02:4780:dead:7bb8::1	phishing
2a02:4780:dead:7bb8::1	phishing
2a02:4780:dead:7bb8::1	phishing
2a02:4780:dead:e211::1	phishing
2600:9000:2132:3400:3:e5ca:4fc0:93a1	phishing
2606:4700:3037::6815:562a	phishing
2a02:4780:dead:88ec::1	phishing
2a02:4780:dead:88ec::1	phishing
2a01:488:42:1000:50ed:8575:ffec:659f	phishing
2600:1408:5400:4a4::3978	coinminer
2606:4700:3033::6815:17b6	phishing
2606:4700:3035::6815:4a8b	phishing
2a02:4780:dead:f0b6::1	phishing
2a02:4780:dead:f0b6::1	phishing
